"STEP","ÉTAPE"
"Sent date","Date envoyée"
"Online HVAC Estimate","Estimation HVAC en Ligne"
"Ready to Install","Prêt à Installer"
"Modify Estimation","Modifier l'Estimation"
"GET AN ONLINE, FAST AND ACCURATE AC/HEATING ESTIMATE NOW!","OBTENEZ UNE ESTIMATION DE CLIMATISATION / CHAUFFAGE EN LIGNE, RAPIDE ET PRÉCISE MAINTENANT!"
"Answer a few quick questions below and you will get a fast, accurate Central Air Conditioning & Heating Estimate immediately sent to your email!","Répondez à quelques questions rapides ci-dessous et vous recevrez une estimation rapide et précise de la climatisation centrale et du chauffage immédiatement envoyée à votre courriel!"
"I would like a quote for","Je voudrais un devis"
"Select the brand A/C you would like a price quote on","Choisissez une marque d'un système sur lequel vous souhaitez un devis"
"Select the model A/C you would like a price quote on","Choisissez un modèle de système"
"Select power (BTU)","Choisissez la puissance (BTU)"
"Please, provide any additional information that can help us make a more accurate estimate","Choisissez un modèle de système sur lequel vous souhaitez un devis"
"Additional requirements","Exigences supplémentaires"
"Send us a photo","Envoyez-nous une photo"
"Send us a pic of your equipment and its surrounding area. <br>Stand far away from the equipment so we can see the area around the unit. <br>You can do it now and send here or at any possible time at phone number <a href='tel:%s'>%s</a>, or email <a href='mailto:%s'>%s</a>.<br><br>This is not required, but it is very helpful during the estimate.","Envoyez-nous une photo de votre équipement et de ses environs. <br>Tenez-vous loin de l'équipement afin que nous puissions voir la zone autour de l'unité. <br>Vous pouvez le faire maintenant et envoyer ici ou à tout moment possible au numéro de téléphone <a href='tel:%s'>%s</a>, ou email <a href='mailto:%s'>%s</a>.<br><br>Ce n'est pas obligatoire, mais c'est très utile lors de l'estimation."
"YOUR CONTACT INFORMATION","VOS COORDONNEES"
"Full name","Nom complet"
"Phone","Téléphone"
"Email","E-mail"
"Address","Adresse"
"City","Ville"
"ZIP","Code Postal"
"Additional Notes","Notes supplémentaires"
"Evaluate","Evaluer"
"Thank you for making estimation <br>online with us!","Merci d'avoir fait une estimation <br>en ligne avec nous!"
"here are you price and offer","voici votre prix et offre"
"Total","Total"
"Tax","Tax"
"All details","Tous les détails"
"Base installation","Installation de base"
"Customer information","Information du client"
"Add-ons to standard installation","Ajouts à l'installation standard"
"Please note that deals are subject to availabilty and its prices are subject to change.","Veuillez noter que les offres sont sujettes à disponibilité et que leurs prix sont sujets à changement."
"Have an issue that we can help with? Email us at <a style='%s' href='mailto:%s'>%s</a>, or write to us at %s","Vous avez un problème pour lequel nous pouvons vous aider? Envoyez-nous un e-mail à <a style='%s' href='mailto:%s'>%s</a>, ou écrivez-nous à %s"
"Learn about our <a href='%s' style='%s'>Privacy Policy</a>","En savoir plus sur notre <a href='%s' style='%s'>Politique de confidentialité</a>"
# Additional question
"What type of house do you have?","Quel type de maison avez-vous?"
"Bungalow","Bungalow"
"Two storey apartment","Appartement de deux étages"
"Two storey house","Maison à deux étages"
"Condo","Condo"
"Other","Autre"
"What time is suitable for you for the installation?","Quelle heure vous convient pour l'installation?"
"click here to choose date and time","cliquez ici pour choisir la date et l'heure"
"On which side of the wall you want the inside and outside units to be installed?","De quel côté du mur souhaitez-vous installer les unités intérieures et extérieures?"
"Wall to wall","Mur à mur"
"Not the same wall","Pas le même mur"
"How long is the distance between the inside and outside units?","Quelle est la distance entre les unités intérieures et extérieures?"
"type the length in feet, e.g 15","tapez la longueur en pieds, par exemple 15"
"How long is the distance between the outside unit and electrical panel?","Quelle est la distance entre l'unité extérieure et le panneau électrique?"
"type the length in feet, e.g 15","tapez la longueur en pieds, par exemple 15"
"How many feet of aluminum cover is needed to hide the pipes outside?","Combien de pieds de couverture en aluminium sont nécessaires pour cacher les tuyaux à l'extérieur?"
"type the length in feet, e.g 15","tapez la longueur en pieds, par exemple 15"
"Ground stand add-on","Rack au sol add-on"
"Base for a ground stand add-on","Base pour un add-on rack au sol"
"Drain Pump","Pompe de vidange"
"Does the installation require work in the attic?","L'installation nécessite-t-elle des travaux dans le grenier?"
"Does the installation require work on the roof?","L'installation nécessite-t-elle des travaux sur le toit?"
"Installation on the height","Installation sur la hauteur"
"Special equipment required?","Équipement spécial requis?"
"Extra equipment to lift unit to elevated surface/roof. Extra equipment to work from heights etc.","Équipement supplémentaire pour soulever l'unité sur une surface / un toit surélevés. Équipement supplémentaire pour travailler en hauteur, etc."
"Live better, make your life comfy and happy with AirGreen!","Vivez mieux, rendez votre vie confortable et heureuse avec AirGreen!"
"Area To Be Cooled (square feet)","Zone à refroidir (pieds carrés)"
